desc,feature,title
"A gorgeous dress in yellow from our latest launch. It comes featuring print all over and flared bodice. This is a cotton crafted dress featuring cotton lining, which makes it extremely comfortable to flaunt whole day long.",Key Features Category Mix & Match Fit Flared Color Yellow Neckline Boat Neck Fabric Cotton Sleeve Length Sleeveless,Yellow Cotton Flared Dress
A perfect match of polka dots and embroidery. This black cotton dress cum kurta is a contemporary style. It comes with cotton lining for assured comfort. You can team it with white pants and can flaunt it without pants as a dress.,Key Features Category Mix & Match Fit Straight Color Black and White Neckline Round Neck Fabric Cotton Sleeve Length Bell Sleeve,Black And White Cotton Tiered Dress
"An indigo dress featuring tassels on the placket, highlighted cuffs and hemline, round neck and three forth sleeves. It is a mid length dress with cotton lining which makes it quite comfortable to wear all day long.",Key Features Category Mix & Match Fit Kalidar Color Indigo Neckline Round Neck Fabric Cotton Sleeve Length 3/4 Sleeve,Indigo Cotton Kalidar Fusion Wear Dress
A red viscose dress with red inner. Dress features tie closure on the front and check print all over. The outer shell is made of cotton and inner shell has viscose making for added comfort. This dress belongs to our fusion wear collection which is a premium range of ultra fashionable styles.,Key Features Category Mix & Match Fit A-Line Color Red Neckline Round Neck Fabric Viscose Cotton Sleeve Length 3/4 Sleeve,Red Viscose Cotton A Line Dress
"For those who love long dresses, this one is a perfect pick.This beautiful piece comes featuring big floral print in contrast, classic collar and three-forth sleeves. The dress also features cotton lining for maximum comfort that makes it a perfect summer wear. Bring home and flaunt with high-heel sandals.",Key Features Category Mix & Match Fit Flared Color Blue Neckline Stand Collar Fabric Cotton Sleeve Length 3/4 Sleeve,Blue Cotton Flared Fusion Wear Dress
"Give your summer wardrobe a floral update with this white dress. It is a fusion dress which comes featuring a mix of floral print, Dori tie on the sides and long bell sleeves. It's a cotton made dress with cotton lining.",Key Features Category Mix & Match Fit Straight Color Off White Neckline V-Neck Fabric Cotton Sleeve Length Raglan Sleeve,Off White Cotton Tiered Dress
Upgrade your collection of basic black leggings with this viscose lycra churidar by Biba. It is ultra soft to touch and comes featuring elasticated waist for added comfort.,Key Features Category Mix & Match Color Black Fabric Viscose & Lycra,Black Viscose & Lycra Churidar
Upgrade your collection of basic leggings with this viscose lycra churidar by Biba. It is ultra soft to touch and comes featuring elasticated waist for added comfort.,Key Features Category Mix & Match Color Mint Green Fabric Viscose & Lycra,Mint Green Viscose & Lycra Churidar
Upgrade your collection of basic leggings with this viscose lycra churidar by Biba. It is ultra soft to touch and comes featuring elasticated waist for added comfort.,Key Features Category Mix & Match Color Navy Fabric Viscose & Lycra,Navy Viscose & Lycra Churidar
Yellow Viscose & Lycra Churidar,Key Features Category Mix & Match Color Yellow Fabric Viscose & Lycra,Yellow Viscose & Lycra Churidar
